country_code,country_name,state_code,state_name,city_name,external_code
IN,India,MH,Maharashtra,Ahmadnagar,251548
IN,India,MH,Maharashtra,Akola,251312
IN,India,MH,Maharashtra,Amravati,251328
IN,India,MH,Maharashtra,Aurangabad,251428
IN,India,MH,Maharashtra,Bhiwandi,251477
IN,India,MH,Maharashtra,Chandrapur,248082
IN,India,MH,Maharashtra,Dhule,251282
IN,India,MH,Maharashtra,Greater Mumbai,251488
IN,India,MH,Maharashtra,Ichalkaranji,251619
IN,India,MH,Maharashtra,Jalgaon,276571
IN,India,MH,Maharashtra,Jalna,251423
IN,India,MH,Maharashtra,Kalyan-Dombivli,251483
IN,India,MH,Maharashtra,Kolhapur,251625
IN,India,MH,Maharashtra,Latur,251561
IN,India,MH,Maharashtra,Malegaon,251438
IN,India,MH,Maharashtra,Mira-Bhayandar,251470
IN,India,MH,Maharashtra,Nagpur,251362
IN,India,MH,Maharashtra,Nanded-Waghala,251401
IN,India,MH,Maharashtra,Nashik,251442
IN,India,MH,Maharashtra,Navi Mumbai,251472
IN,India,MH,Maharashtra,Panvel,251492
IN,India,MH,Maharashtra,Parbhani,251416
IN,India,MH,Maharashtra,Pimpri Chinchwad,251528
IN,India,MH,Maharashtra,Pune,251530
IN,India,MH,Maharashtra,Sangli-Miraj Kupwad,251639
IN,India,MH,Maharashtra,Solapur,251577
IN,India,MH,Maharashtra,Thane,251471
IN,India,MH,Maharashtra,Ulhasnagar,251484
IN,India,MH,Maharashtra,Vasai-Virar,251463
IN,India,MH,Maharashtra,Achalpur,251323
IN,India,MH,Maharashtra,Ahmadpur,251562
IN,India,MH,Maharashtra,Akkalkot,251581
IN,India,MH,Maharashtra,Akluj,300383
IN,India,MH,Maharashtra,Akot,251310
IN,India,MH,Maharashtra,Alandi,251521
IN,India,MH,Maharashtra,Alibag,251503
IN,India,MH,Maharashtra,Amalner,251294
IN,India,MH,Maharashtra,Ambad,251424
IN,India,MH,Maharashtra,Ambajogai,251560
IN,India,MH,Maharashtra,Ambarnath,251485
IN,India,MH,Maharashtra,Amgaon,276364
IN,India,MH,Maharashtra,Anjangaon,251322
IN,India,MH,Maharashtra,Arni,259703
IN,India,MH,Maharashtra,Arvi,251332
IN,India,MH,Maharashtra,Ashta,251634
IN,India,MH,Maharashtra,Ausa,251563
IN,India,MH,Maharashtra,Badlapur,251486
